id,text,protected_terms,translate_embedded
1,"Tämä takki on NorthFace 1996 retro down jacket – super warm for winter commutes!","NorthFace 1996",true
2,"Kevyet juoksutrikoot, breathbale fabric ja sivutasku phoneille.",,true
3,"Väri: midnigt black, materiaali: polyster 90% / elastan 10%.",,false
4,"Palautusohje: fill the form at our site and lähetä se meille.",,true
5,"Huolto: pesu 30C, ei valkaisu. Dry gentle only.",,true
6,"Näissä hanskoissa on hyvä grippi ja lämpö – perfekt för cykling på hösten.",,true
7,"Koko: L-XL; yhteensopiva mallin ABC-123 kanssa.","ABC-123",false
8,"Heijastimet parantavat näkyvyyttä, zip-pocket selässä on kätevä.",,false
9,"Kuvaus: tämä on erittäin kestävä ja kevy, sopii pitkille vaelluksile.",,false
10,"Materiaali: wool 50%, akryyli 50%. Tämä neule sopii office casual -tyyliin.",,true
11,"Hintalappu: 199,90 € – limited edition XYZ-789 myynnissä nyt.","XYZ-789",true
12,"Tämä laite kestää lämpötilat -10°C to 50°C, battery life 24h.",,true
13,"Features: water-proof, dust-proof; IP67 rating. Asennus helppoa.",,true
14,"Paketissa tulee 3x AAA paristot ja käyttöohjeet. Replacement available.",,true
15,"Huolto-ohje: käännä ""virta"" OFF/ON; Pro-200 toimii parhaiten.","Pro-200",false
